t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.874] [bmv2] [T] [thread 70267] [2.0] [cxt 0] log_probe.p4(93) Primitive hdr.ipv4.dstAddr
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.875] [bmv2] [T] [thread 70267] [2.0] [cxt 0] log_probe.p4(93) Primitive hdr.ipv4.ttl
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.875] [bmv2] [T] [thread 70267] [2.0] [cxt 0] log_probe.p4(93) Primitive n
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.875] [bmv2] [T] [thread 70267] [2.0] [cxt 0] log_probe.p4(92) Primitive             log_msg(\"INGRESS dst={} ttl={} counter={}\",
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.875] [bmv2] [I] [thread 70267] INGRESS dst=167837953 ttl=34 counter=4
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.876] [bmv2] [T] [thread 70267] [2.0] [cxt 0] Applying table 'MyIngress.ipv4_exact'
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.876] [bmv2] [D] [thread 70267] [2.0] [cxt 0] Looking up key:
t=0.002 sw=1 flow=0 pkt=2 | * hdr.ipv4.dstAddr    : 0a010101
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.876] [bmv2] [D] [thread 70267] [2.0] [cxt 0] Table 'MyIngress.ipv4_exact': hit with handle 0
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.877] [bmv2] [D] [thread 70267] [2.0] [cxt 0] Dumping entry 0
t=0.002 sw=1 flow=0 pkt=2 | Match key:
t=0.002 sw=1 flow=0 pkt=2 | * hdr.ipv4.dstAddr    : EXACT     0a010101
t=0.002 sw=1 flow=0 pkt=2 | Action entry: MyIngress.forward - 0,
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.877] [bmv2] [D] [thread 70267] [2.0] [cxt 0] Action entry is MyIngress.forward - 0,
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.877] [bmv2] [T] [thread 70267] [2.0] [cxt 0] Action MyIngress.forward
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.878] [bmv2] [T] [thread 70267] [2.0] [cxt 0] log_probe.p4(70) Primitive standard_metadata.egress_spec = port
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.878] [bmv2] [T] [thread 70267] [2.0] [cxt 0] log_probe.p4(71) Primitive hdr.ipv4.ttl = hdr.ipv4.ttl - 1
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.878] [bmv2] [T] [thread 70267] [2.0] [cxt 0] Applying table 'tbl_log_probe95'
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.879] [bmv2] [D] [thread 70267] [2.0] [cxt 0] Looking up key:
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.879] [bmv2] [D] [thread 70267] [2.0] [cxt 0] Table 'tbl_log_probe95': miss
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.879] [bmv2] [D] [thread 70267] [2.0] [cxt 0] Action entry is log_probe95 - 
t=0.002 sw=1 flow=0 pkt=2 | [12:13:15.879] [bmv2] [T] [thread 70267] [2.0] [cxt 0] Action log_probe95
